Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Skin_Type,Gender_Target,Country_of_Origin
Ultra Contour,Sisley,Blush,Occasional,117.66,1.2,3499,Sensitive,Male,USA
Super Eye Shadow,Bite Beauty,Makeup Remover,Monthly,145.12,1.6,2926,Normal,Male,USA
Perfect Mascara,Juvia’s Place,Blush,Weekly,145.46,1.8,6777,Normal,Unisex,Japan
Magic Lip Liner,Bobby Brown,Concealer,Weekly,69.01,4.2,7091,Combination,Unisex,France
Super Setting Spray,Tatcha,Exfoliator,Weekly,56.8,2,7032,Dry,Unisex,Australia
Ultra BB Cream,Fenty Beauty,Serum,Occasional,54.27,3,4210,Dry,Male,UK
Super Exfoliator,Hourglass,Lip Gloss,Occasional,101.4,2.2,8503,Normal,Male,Italy
Magic Cleanser,Charlotte Tilbury,Primer,Occasional,22.51,1.8,4407,Sensitive,Female,Japan
Magic Eyeliner,Clinique,Blush,Occasional,81.08,2.7,8165,Combination,Male,South Korea
Magic Lip Gloss,Ilia Beauty,Concealer,Weekly,37.75,1.4,9410,Combination,Male,Japan
Divine Contour,Glossier,Highlighter,Occasional,108.06,4.7,7090,Sensitive,Unisex,Australia
Divine Foundation,Clinique,Cleanser,Weekly,47.63,1.5,1565,Combination,Female,UK
Perfect Lip Liner,Bobby Brown,Setting Spray,Occasional,103.22,2.7,4068,Dry,Female,Australia
Divine Highlighter,Pat McGrath Labs,Blush,Weekly,36.71,4.8,6293,Oily,Female,South Korea
Perfect BB Cream,Milk Makeup,BB Cream,Monthly,149.7,4.2,6765,Sensitive,Unisex,Australia
Magic Foundation,Too Faced,Concealer,Occasional,73.35,1.5,9046,Combination,Male,Australia
Super Foundation,IT Cosmetics,Foundation,Daily,140.17,2.9,7019,Sensitive,Unisex,Japan
Magic Powder,Milk Makeup,Exfoliator,Weekly,74.95,1.2,7127,Sensitive,Female,South Korea
Magic Cleanser,Kylie Cosmetics,Makeup Remover,Monthly,73.89,3.8,5004,Sensitive,Unisex,France
Super Blush,Danessa Myricks,Highlighter,Daily,121.83,1.8,1186,Oily,Male,Japan
Magic Mascara,Glossier,Lip Liner,Daily,131.97,2,1431,Sensitive,Female,Japan
Super BB Cream,NARS,BB Cream,Weekly,74.14,1.6,1564,Normal,Male,UK
Magic Cleanser,Danessa Myricks,Concealer,Monthly,88.35,4.7,2523,Normal,Male,USA
Ultra Lipstick,Becca,Primer,Monthly,37.5,1.1,5794,Sensitive,Female,South Korea
Perfect Face Mask,Hourglass,Mascara,Daily,147.32,1.2,5006,Normal,Unisex,Japan
Divine Foundation,Sisley,Highlighter,Occasional,80.06,2.9,2600,Sensitive,Male,France
Ultra Bronzer,Becca,Concealer,Monthly,135.91,1.5,7926,Sensitive,Male,Australia
Super Setting Spray,Huda Beauty,Lip Gloss,Occasional,75.16,3,2831,Normal,Unisex,Germany
Perfect Cleanser,Pat McGrath Labs,Highlighter,Weekly,143.1,3.6,753,Dry,Male,Germany
Divine Makeup Remover,Laura Mercier,Makeup Remover,Monthly,146.88,4.4,3522,Oily,Female,France
Magic Makeup Remover,Drunk Elephant,CC Cream,Monthly,117.6,3.8,460,Oily,Male,UK
Magic Contour,Hourglass,Cleanser,Weekly,119.08,4.9,7493,Combination,Unisex,Australia
Perfect Face Oil,NARS,Face Oil,Occasional,123.67,4.2,8028,Oily,Male,USA
Super BB Cream,RMS Beauty,Highlighter,Monthly,131,4.2,7920,Normal,Male,Australia
Divine Exfoliator,Perricone MD,Highlighter,Daily,10.13,4.5,3889,Normal,Male,Germany
Perfect Contour,Milk Makeup,Lipstick,Occasional,10.22,1.7,3579,Oily,Male,Japan
Divine Setting Spray,Becca,Eyeliner,Monthly,100.51,1.7,3061,Normal,Unisex,France
Ultra Lip Liner,Sisley,Concealer,Occasional,34.53,2.7,1329,Dry,Male,Australia
Perfect Lip Liner,Anastasia Beverly Hills,Lip Gloss,Weekly,90.15,2.9,1370,Dry,Unisex,UK
Divine Highlighter,Pat McGrath Labs,BB Cream,Weekly,49.07,3.1,9169,Sensitive,Male,UK
Magic BB Cream,Bobby Brown,Mascara,Occasional,122.94,4.4,9308,Sensitive,Unisex,Italy
Magic Concealer,Drunk Elephant,Moisturizer,Daily,51.45,1.2,9304,Combination,Female,Japan
Divine Foundation,Anastasia Beverly Hills,BB Cream,Weekly,70.9,3.5,7993,Normal,Unisex,Germany
Divine Highlighter,Patrick Ta,Eyeliner,Weekly,31.18,3.2,9175,Combination,Unisex,USA
Divine BB Cream,Anastasia Beverly Hills,Face Mask,Weekly,87.14,1.5,1337,Sensitive,Unisex,Australia
Perfect CC Cream,Laura Mercier,Eye Shadow,Weekly,90.71,3.3,383,Oily,Female,France
Super Face Oil,Bite Beauty,Highlighter,Daily,72.32,2.3,4515,Sensitive,Male,UK
Ultra Lip Liner,Patrick Ta,Face Mask,Monthly,133.78,3.9,6056,Sensitive,Female,USA
Perfect Lip Liner,ColourPop,Lipstick,Monthly,109.48,2.4,6509,Combination,Unisex,France
Divine Exfoliator,Ilia Beauty,Makeup Remover,Monthly,95.74,1.3,5332,Oily,Unisex,Italy
Ultra Serum,Bourjois,Serum,Daily,82.04,2.6,9237,Dry,Female,Japan
Magic Highlighter,Yves Saint Laurent,Eye Shadow,Occasional,13.27,4.8,9673,Sensitive,Male,Italy
Divine Highlighter,Perricone MD,Lip Gloss,Daily,75.43,3.4,407,Combination,Female,South Korea
Super CC Cream,Becca,Concealer,Daily,102.78,1.4,3070,Normal,Male,Japan
Perfect Mascara,Urban Decay,Cleanser,Weekly,84.99,1.1,1900,Oily,Female,Japan
Super BB Cream,E.l.f.,Highlighter,Occasional,35.41,3.9,8973,Sensitive,Male,France
Divine BB Cream,Morphe,Face Oil,Daily,95.04,4.7,6624,Combination,Unisex,South Korea
Super Foundation,Danessa Myricks,Eye Shadow,Monthly,147.14,4.9,7463,Dry,Male,Italy
Ultra BB Cream,Kylie Cosmetics,Powder,Weekly,111.18,1.3,3328,Sensitive,Unisex,Germany
Perfect Blush,E.l.f.,Bronzer,Weekly,48.84,1.8,7934,Dry,Unisex,Italy
Magic Bronzer,Ilia Beauty,Serum,Occasional,104.4,1.5,3970,Dry,Female,Italy
Ultra Moisturizer,Bite Beauty,Concealer,Daily,32.08,3.2,329,Dry,Female,USA
Perfect Primer,Perricone MD,Setting Spray,Occasional,76.4,1.6,9940,Oily,Female,South Korea
Ultra Foundation,RMS Beauty,Lip Liner,Monthly,100.42,4.6,7599,Dry,Unisex,Japan
Divine Exfoliator,Patrick Ta,Cleanser,Weekly,114.86,1.9,7004,Sensitive,Unisex,USA
Magic Eyeliner,Glossier,Eye Shadow,Weekly,144.51,1.1,8348,Oily,Male,Australia
Ultra Powder,Kylie Cosmetics,Lipstick,Monthly,38.87,2.8,4973,Sensitive,Male,Germany
Ultra Face Oil,Kiehl’s,Foundation,Monthly,56.95,1.6,9735,Combination,Male,France
Perfect Mascara,E.l.f.,CC Cream,Monthly,45.45,1.5,8429,Sensitive,Unisex,USA
Divine Face Oil,Tarte,Mascara,Monthly,142.37,5,6978,Oily,Female,Australia
Perfect Lip Liner,RMS Beauty,Lip Gloss,Daily,81.91,5,1194,Dry,Female,France
Perfect Foundation,Pat McGrath Labs,Cleanser,Daily,132.15,3.8,6881,Dry,Female,UK
Ultra Concealer,Urban Decay,Primer,Occasional,65.83,2,8667,Dry,Male,Australia
Ultra Eye Shadow,Too Faced,Contour,Daily,49.84,4.1,3439,Oily,Female,Japan
Ultra Powder,Clinique,Highlighter,Occasional,22.36,4,6652,Sensitive,Unisex,Japan
Magic Eye Shadow,Kylie Cosmetics,Exfoliator,Daily,139.84,2.3,7145,Normal,Unisex,Germany
Perfect Setting Spray,Bourjois,Lipstick,Daily,133.39,1.3,6334,Normal,Unisex,USA
Perfect Concealer,KVD Beauty,Lip Liner,Weekly,96.76,1.8,7774,Oily,Unisex,USA
Divine CC Cream,Natasha Denona,Contour,Daily,39.64,2.9,1577,Dry,Male,France
Divine Highlighter,Fenty Beauty,Mascara,Daily,81.64,3.5,3445,Sensitive,Unisex,South Korea
Perfect Bronzer,Natasha Denona,Concealer,Weekly,98.82,1.4,100,Normal,Unisex,France
Divine Face Oil,Perricone MD,Lip Gloss,Occasional,62.3,1.5,7906,Normal,Unisex,South Korea
Super CC Cream,Urban Decay,Lip Gloss,Daily,146.36,3.6,1816,Sensitive,Male,South Korea
Super Concealer,Rare Beauty,BB Cream,Monthly,122.38,1.1,4916,Sensitive,Female,USA
Perfect Highlighter,Urban Decay,Eyeliner,Weekly,120.46,1,5280,Dry,Unisex,USA
Perfect Makeup Remover,Natasha Denona,Blush,Monthly,141.06,1.9,4076,Oily,Male,UK
Divine Face Oil,Patrick Ta,Powder,Monthly,72.61,1.3,9686,Oily,Unisex,France
Divine Serum,Juvia’s Place,Foundation,Weekly,120.04,4.5,2678,Sensitive,Male,Japan
Divine Contour,Ilia Beauty,Face Oil,Weekly,89.74,4.4,5645,Dry,Male,USA
Ultra BB Cream,Sisley,Eye Shadow,Monthly,33.41,1.4,4349,Dry,Female,South Korea
Magic Face Oil,Clinique,Eyeliner,Daily,99.52,2.7,3050,Normal,Male,Australia
Ultra Moisturizer,Becca,Highlighter,Monthly,125.99,4.3,9126,Sensitive,Unisex,Australia
Divine Powder,Anastasia Beverly Hills,CC Cream,Monthly,30.42,1.6,5505,Combination,Unisex,Australia
Magic Eye Shadow,Sisley,Setting Spray,Daily,33.39,1.9,4590,Oily,Male,South Korea
Super Primer,Laura Mercier,Primer,Weekly,127.3,2.5,1645,Combination,Female,South Korea
Divine Powder,Charlotte Tilbury,Face Mask,Weekly,148,3,291,Oily,Female,Germany
Divine Eyeliner,Rare Beauty,Primer,Monthly,92.53,3.6,4498,Sensitive,Female,Italy
Divine Blush,NARS,Concealer,Weekly,99.52,1.7,8384,Sensitive,Unisex,Italy
Divine Mascara,KVD Beauty,Eyeliner,Daily,19.31,4.8,6617,Combination,Male,Australia
Perfect Makeup Remover,Drunk Elephant,Concealer,Monthly,35.54,2.3,7918,Dry,Female,France
Perfect Lip Gloss,Glossier,Eye Shadow,Occasional,100.13,4,1856,Normal,Female,Germany
Divine Exfoliator,Farsali,Face Oil,Occasional,106.17,4.5,5129,Sensitive,Unisex,Germany
Divine Mascara,Charlotte Tilbury,Concealer,Monthly,92.85,4.5,7441,Combination,Male,Germany
Perfect Face Oil,Fenty Beauty,Exfoliator,Weekly,65.68,2.3,8146,Dry,Female,USA
Super CC Cream,Milk Makeup,Face Oil,Occasional,139.1,1.7,3512,Combination,Unisex,Germany
Super Concealer,Bobby Brown,Moisturizer,Monthly,60.97,3.7,7090,Combination,Unisex,USA
Perfect Lip Liner,Laura Mercier,Eye Shadow,Occasional,130.07,1.9,4783,Oily,Unisex,Australia
Magic Serum,Charlotte Tilbury,Setting Spray,Occasional,134.09,3.6,9683,Normal,Unisex,UK
Magic Mascara,Anastasia Beverly Hills,BB Cream,Occasional,128.16,1.2,8947,Normal,Unisex,Italy
Magic Moisturizer,Patrick Ta,Mascara,Daily,63.81,5,4037,Combination,Male,Australia
Super Lip Liner,Yves Saint Laurent,Concealer,Weekly,51.38,2.1,9388,Sensitive,Male,USA
Perfect Moisturizer,Natasha Denona,Face Oil,Daily,129.21,4.8,8709,Combination,Unisex,UK
Super Mascara,Glossier,Exfoliator,Occasional,107.15,2,1699,Normal,Unisex,Australia
Magic BB Cream,Patrick Ta,Face Mask,Weekly,136.22,4.9,3515,Oily,Male,USA
Divine Lip Liner,Pat McGrath Labs,Cleanser,Monthly,148.44,3.6,813,Sensitive,Female,Japan
Perfect Bronzer,Danessa Myricks,Setting Spray,Monthly,102.1,3,8102,Normal,Unisex,Japan
Ultra Eye Shadow,Too Faced,Serum,Monthly,36.5,1.7,5207,Combination,Unisex,USA
Super Eye Shadow,Clinique,Lip Gloss,Occasional,93.26,3.3,6266,Oily,Male,Italy
Ultra Concealer,Hourglass,Cleanser,Monthly,67.16,3.8,1973,Dry,Unisex,Australia
Ultra Lip Liner,KVD Beauty,Lipstick,Occasional,57.51,2.6,1067,Dry,Female,USA
Divine Serum,E.l.f.,Makeup Remover,Occasional,12.66,1.8,1857,Normal,Unisex,France
Ultra Foundation,Kylie Cosmetics,BB Cream,Weekly,108.31,4.9,335,Combination,Female,Japan
Ultra Face Oil,Anastasia Beverly Hills,Concealer,Occasional,93.73,3.7,2839,Normal,Female,Japan
Perfect Primer,Clinique,Bronzer,Monthly,46.65,4.7,5460,Combination,Male,UK
Perfect Setting Spray,Natasha Denona,Cleanser,Monthly,60.61,3.7,779,Oily,Female,USA
Divine Moisturizer,KVD Beauty,Bronzer,Occasional,16.85,3.1,4669,Sensitive,Female,Australia
Super Face Mask,Rare Beauty,CC Cream,Monthly,17.01,2.9,7265,Combination,Female,South Korea
Super Eyeliner,Perricone MD,Blush,Weekly,145.58,1.1,8477,Combination,Female,USA
Super Exfoliator,Becca,Contour,Occasional,68.32,4.6,8174,Oily,Female,Germany
Perfect Eye Shadow,Kiehl’s,Serum,Occasional,45.31,3.9,6014,Oily,Unisex,UK
Ultra Foundation,Sisley,Concealer,Weekly,14,4.3,5746,Normal,Female,USA
Magic Contour,Bobby Brown,Powder,Weekly,27.25,4.2,116,Normal,Unisex,Italy
Perfect Makeup Remover,E.l.f.,Eyeliner,Weekly,27.51,2.4,9926,Oily,Male,France
Super Mascara,Rare Beauty,Lip Gloss,Occasional,36.57,1.7,324,Normal,Unisex,Italy
Super Bronzer,Fenty Beauty,Powder,Daily,73.34,2.2,6894,Combination,Female,UK
Divine Face Mask,Sisley,Exfoliator,Monthly,93.67,4.5,2181,Oily,Male,France
Divine Foundation,E.l.f.,Lipstick,Daily,136.41,3.8,2830,Dry,Female,Japan
Perfect Cleanser,Too Faced,Eyeliner,Occasional,108.28,4.6,4360,Oily,Male,South Korea
Divine Primer,Huda Beauty,BB Cream,Occasional,124.78,1.2,9232,Dry,Male,Australia
Magic Lip Liner,Too Faced,Bronzer,Daily,113.85,3,8848,Combination,Unisex,Australia
Ultra Lipstick,Sisley,Lip Gloss,Monthly,102.21,3,7626,Dry,Female,Japan
Divine CC Cream,Becca,Serum,Monthly,104.91,2.1,4205,Combination,Unisex,Australia
Divine BB Cream,Farsali,Concealer,Occasional,111.5,3.7,8570,Oily,Male,Australia
Divine Eye Shadow,Charlotte Tilbury,Eyeliner,Occasional,20.11,2.7,6714,Dry,Male,Italy
Super Highlighter,Charlotte Tilbury,CC Cream,Daily,15.23,2.6,5437,Combination,Male,USA
Super Lipstick,Anastasia Beverly Hills,Eyeliner,Monthly,62.5,3.2,7145,Dry,Female,South Korea
Divine Powder,Glossier,Serum,Daily,40.7,2.2,1151,Dry,Male,France
Super Lip Liner,Hourglass,Eye Shadow,Occasional,127.13,4.7,2799,Dry,Unisex,USA
Super Primer,Pat McGrath Labs,Highlighter,Monthly,49.75,3.4,2012,Combination,Female,Australia
Divine Foundation,Pat McGrath Labs,Mascara,Weekly,102.89,1.3,6924,Normal,Unisex,Italy
Ultra Makeup Remover,Sisley,BB Cream,Daily,146.77,1.7,1465,Combination,Female,Germany
Divine Face Oil,Kylie Cosmetics,Setting Spray,Monthly,128.52,1,1767,Oily,Female,Australia
Ultra Lip Liner,Pat McGrath Labs,Cleanser,Occasional,30.56,4.7,7410,Oily,Unisex,Italy
Super Lipstick,Tatcha,Face Mask,Weekly,129.05,1.9,74,Normal,Unisex,Japan
Ultra Highlighter,Urban Decay,Bronzer,Weekly,56.59,4.3,9419,Oily,Unisex,UK
Divine Blush,Shiseido,CC Cream,Occasional,99.45,3.2,7868,Combination,Male,France
Perfect Serum,Bobby Brown,Eyeliner,Weekly,92.08,1.8,607,Sensitive,Male,Italy
Divine Mascara,Danessa Myricks,Face Mask,Monthly,102.06,2.6,2971,Oily,Female,UK
Perfect Lipstick,Drunk Elephant,Highlighter,Weekly,43.69,4.7,1637,Sensitive,Female,Japan
Perfect Setting Spray,Pat McGrath Labs,Lip Gloss,Daily,107.92,2.2,3473,Sensitive,Unisex,USA
Perfect Exfoliator,Too Faced,Eye Shadow,Monthly,116.25,1.3,7264,Sensitive,Male,South Korea
Ultra Makeup Remover,Anastasia Beverly Hills,Cleanser,Weekly,136.04,3.1,7794,Normal,Male,South Korea
Ultra Bronzer,Natasha Denona,CC Cream,Weekly,50.52,1.9,118,Dry,Male,Japan
Magic Moisturizer,Kylie Cosmetics,Cleanser,Occasional,107.08,1.4,567,Combination,Male,France
Divine BB Cream,KVD Beauty,Face Mask,Monthly,36.24,4.8,7859,Oily,Male,South Korea
Perfect Lip Liner,Make Up For Ever,Foundation,Monthly,129.67,1.4,838,Dry,Female,Germany
Magic Lip Liner,Drunk Elephant,Contour,Monthly,68.44,1.4,5201,Dry,Female,South Korea
Super Eye Shadow,Ilia Beauty,Eye Shadow,Monthly,121.77,1.4,379,Oily,Male,Japan
Ultra Cleanser,RMS Beauty,Foundation,Monthly,25.29,4.9,8227,Oily,Unisex,UK
Ultra Contour,Drunk Elephant,Blush,Daily,12.8,3.4,8056,Sensitive,Female,Italy
Ultra Primer,Clinique,CC Cream,Occasional,85.05,2.3,2424,Sensitive,Female,Germany
Perfect Eye Shadow,Clinique,BB Cream,Occasional,69.46,2.8,8655,Sensitive,Male,Germany
Perfect Highlighter,Hourglass,Concealer,Occasional,118.66,4.1,1066,Combination,Female,UK
Perfect Serum,Drunk Elephant,Powder,Weekly,38.48,1.9,5539,Dry,Unisex,Italy
Super Bronzer,Charlotte Tilbury,Mascara,Occasional,53.53,3.5,1514,Oily,Female,USA
Ultra Serum,Anastasia Beverly Hills,Lipstick,Weekly,97.09,2.5,1804,Dry,Unisex,South Korea
Divine Moisturizer,Too Faced,Face Oil,Weekly,146.45,2.9,380,Normal,Female,South Korea
Divine Cleanser,E.l.f.,Face Oil,Occasional,89.35,1.7,5611,Combination,Male,Italy
Magic Serum,Becca,Exfoliator,Daily,80.36,2,9178,Dry,Female,Japan
Perfect Blush,Rare Beauty,Blush,Occasional,17.01,1.9,4600,Oily,Male,South Korea
Super Eye Shadow,ColourPop,Highlighter,Monthly,42.37,2.1,8417,Normal,Unisex,Italy
Perfect Bronzer,Pat McGrath Labs,Face Mask,Monthly,50.2,1.6,1933,Sensitive,Male,USA
Magic Eyeliner,Bobby Brown,Moisturizer,Monthly,96.51,1.4,9555,Dry,Unisex,South Korea
Perfect Mascara,Yves Saint Laurent,Face Oil,Weekly,92.58,4.1,6291,Normal,Female,UK
Magic Moisturizer,ColourPop,Concealer,Occasional,24.61,2.6,9180,Combination,Unisex,South Korea
Divine Face Oil,Clinique,Serum,Monthly,143.65,2.1,6240,Normal,Male,Australia
Perfect Mascara,Kylie Cosmetics,Lip Gloss,Monthly,10.22,1,1942,Normal,Male,Italy
Super Serum,Milk Makeup,Eyeliner,Weekly,87.76,4.2,337,Sensitive,Unisex,Japan
Ultra Face Oil,Pat McGrath Labs,Primer,Monthly,24.18,1,8254,Normal,Female,South Korea
Magic Blush,Rare Beauty,Eyeliner,Occasional,57.93,1.7,2152,Combination,Unisex,UK
Magic Exfoliator,Charlotte Tilbury,Contour,Weekly,113.73,4.6,9562,Normal,Female,South Korea
Perfect Foundation,Tarte,Lipstick,Weekly,66.08,2.2,5202,Combination,Unisex,Japan
Perfect Blush,Natasha Denona,Makeup Remover,Monthly,107.32,4,9526,Normal,Female,Germany
Ultra Lipstick,NARS,Makeup Remover,Weekly,120.79,3.3,6510,Normal,Male,South Korea
Ultra Mascara,Clinique,Exfoliator,Monthly,130.76,5,8542,Sensitive,Female,UK
Ultra Eyeliner,KVD Beauty,Mascara,Daily,112.15,2.3,6309,Sensitive,Female,South Korea
Perfect Face Mask,Kiehl’s,Setting Spray,Occasional,68.63,1.3,6881,Normal,Female,UK
Magic Lipstick,Juvia’s Place,BB Cream,Occasional,67.99,3.7,5819,Oily,Unisex,Japan
Divine Foundation,Shiseido,Foundation,Occasional,100.77,3.3,8917,Combination,Unisex,UK
Super Lip Liner,RMS Beauty,Face Mask,Monthly,119.2,3.2,3737,Combination,Female,Italy
Ultra Blush,Juvia’s Place,Highlighter,Weekly,149.67,4.7,8940,Oily,Male,Japan
Magic Bronzer,ColourPop,Powder,Occasional,23.53,1.9,8557,Oily,Female,USA
Perfect Bronzer,Glossier,Face Mask,Monthly,142.96,2.9,7677,Dry,Female,Australia
Perfect Blush,Yves Saint Laurent,Mascara,Occasional,77.82,4,6507,Sensitive,Unisex,South Korea
Perfect Lipstick,Tarte,Blush,Weekly,97.6,2.3,7555,Sensitive,Female,Italy
Divine Contour,Patrick Ta,Lip Gloss,Occasional,87.28,5,3789,Combination,Male,USA
Super Moisturizer,Kylie Cosmetics,Makeup Remover,Weekly,129.16,4.6,1288,Oily,Unisex,Germany
Super CC Cream,Make Up For Ever,Lip Gloss,Daily,46,4.3,3071,Sensitive,Unisex,USA
Magic Lip Liner,Pat McGrath Labs,Lip Liner,Monthly,25.75,1.9,6448,Combination,Unisex,France
Perfect Highlighter,Yves Saint Laurent,Concealer,Weekly,39.13,2.8,9437,Combination,Female,Germany
Magic Serum,Natasha Denona,Mascara,Daily,139.72,4.6,470,Sensitive,Male,France
Ultra Setting Spray,Huda Beauty,Foundation,Weekly,88.2,3.2,2758,Normal,Female,Japan
Magic Moisturizer,Morphe,Eyeliner,Occasional,149.57,3.1,3545,Normal,Unisex,Australia
Perfect Lip Liner,Natasha Denona,Contour,Daily,103.95,4.4,8952,Normal,Male,Japan
Super Lipstick,RMS Beauty,Powder,Weekly,86.01,1.6,7263,Sensitive,Female,Australia
Super BB Cream,KVD Beauty,CC Cream,Occasional,28.56,2.9,9292,Dry,Male,France
Ultra Lip Liner,NARS,Eyeliner,Occasional,65.4,4.7,9453,Normal,Female,UK
Ultra Bronzer,Kylie Cosmetics,Concealer,Occasional,14.02,4,8664,Dry,Male,South Korea
Magic Bronzer,Bite Beauty,Powder,Daily,26.56,4.4,2168,Sensitive,Male,France
Super Bronzer,Shiseido,Face Oil,Daily,49.21,4.4,6904,Dry,Female,France
Perfect Powder,Anastasia Beverly Hills,Lipstick,Weekly,85.35,4.6,6430,Normal,Female,Australia
Magic Serum,KVD Beauty,BB Cream,Occasional,109.98,3.7,1863,Combination,Male,Germany
Magic BB Cream,Bite Beauty,Eye Shadow,Monthly,12.73,4.8,2321,Combination,Female,Italy
Divine Exfoliator,Ilia Beauty,Serum,Weekly,76.79,4.1,6530,Oily,Unisex,Germany
Divine Lipstick,Danessa Myricks,Eyeliner,Weekly,23.85,3.7,3199,Sensitive,Unisex,Germany
Super Primer,Shiseido,Foundation,Occasional,148.08,3.9,2675,Oily,Male,France
Divine Primer,Bite Beauty,Contour,Daily,37.73,3,2947,Normal,Unisex,Australia
Divine Concealer,Ilia Beauty,BB Cream,Daily,131.58,2,103,Sensitive,Male,UK
Perfect Makeup Remover,Too Faced,Bronzer,Occasional,59.57,3.2,1512,Sensitive,Female,USA
Ultra BB Cream,Ilia Beauty,Blush,Occasional,72.42,3.2,6958,Dry,Male,Australia
Magic Lip Liner,Bobby Brown,Foundation,Monthly,33.07,2.6,6060,Combination,Female,South Korea
Ultra Cleanser,Perricone MD,Face Oil,Daily,70.4,3.1,8449,Dry,Female,Germany
Magic Lip Gloss,E.l.f.,Lipstick,Daily,83.63,4.4,2715,Oily,Female,USA
Divine Eyeliner,Laura Mercier,Serum,Monthly,87.93,1.4,6715,Combination,Unisex,UK
Ultra Cleanser,Urban Decay,Cleanser,Occasional,54.18,3.9,7956,Sensitive,Unisex,Italy
Super CC Cream,Anastasia Beverly Hills,Primer,Daily,72.33,1.7,8472,Dry,Female,UK
Super Primer,Patrick Ta,Powder,Monthly,101.55,1.3,6044,Normal,Unisex,UK
Perfect Contour,Bite Beauty,Lip Gloss,Monthly,16.64,3.7,2358,Dry,Male,South Korea
Divine Primer,Urban Decay,Eyeliner,Occasional,19.14,1.7,3123,Combination,Male,South Korea
Divine Moisturizer,Kiehl’s,Exfoliator,Weekly,39.74,2.9,2413,Normal,Unisex,France
Divine Cleanser,Natasha Denona,Foundation,Daily,75.44,5,4798,Combination,Male,USA
Magic Blush,Farsali,Lipstick,Weekly,60.64,1.2,1741,Sensitive,Male,Italy
Divine Serum,Ilia Beauty,Face Mask,Weekly,95.26,4.8,5656,Oily,Unisex,Italy
Ultra Moisturizer,Hourglass,Lipstick,Daily,91.65,1.6,6211,Normal,Female,Japan
Ultra Exfoliator,KVD Beauty,Primer,Daily,79.7,2.7,8251,Sensitive,Male,Japan
Divine Primer,Bobby Brown,Foundation,Monthly,29.23,2.3,3218,Combination,Female,UK
Ultra Makeup Remover,Shiseido,Eyeliner,Occasional,132.12,4.6,4446,Normal,Female,Australia
Perfect Lip Gloss,Rare Beauty,Highlighter,Occasional,47.9,3,5853,Combination,Female,South Korea
Magic Primer,Drunk Elephant,Primer,Occasional,143.95,3.5,5309,Dry,Female,UK
Perfect Bronzer,Bobby Brown,Face Mask,Weekly,129.14,3.4,3366,Oily,Female,France
Perfect Moisturizer,Milk Makeup,Concealer,Occasional,12.01,3.9,788,Oily,Female,Germany
Divine Contour,Laura Mercier,CC Cream,Occasional,94.89,4,580,Dry,Female,Japan
Perfect Lip Gloss,Rare Beauty,Eye Shadow,Occasional,126.18,1.4,5008,Combination,Unisex,Italy
Magic Highlighter,Morphe,Eyeliner,Daily,75.21,3.1,4610,Combination,Female,Italy
Super Moisturizer,Glossier,Serum,Daily,143.37,1.1,8994,Combination,Unisex,UK
Perfect Eye Shadow,Bite Beauty,Eyeliner,Daily,109.41,2.9,8066,Combination,Female,UK
Perfect CC Cream,Huda Beauty,BB Cream,Daily,40.87,2.6,2912,Sensitive,Unisex,France
Perfect Blush,IT Cosmetics,Primer,Daily,79.64,3.7,8941,Dry,Unisex,USA
Perfect Lip Gloss,Becca,Highlighter,Monthly,90.72,1.5,6990,Oily,Female,USA
Super Powder,Bobby Brown,Serum,Weekly,31.44,1.1,8687,Normal,Unisex,UK
Ultra Bronzer,E.l.f.,Foundation,Occasional,40.43,3.6,8791,Sensitive,Female,Germany
Super Moisturizer,Drunk Elephant,CC Cream,Daily,24.64,1.6,186,Normal,Unisex,Japan
Ultra Eye Shadow,Yves Saint Laurent,BB Cream,Weekly,68.76,4.5,7876,Dry,Female,Japan
Perfect Concealer,Anastasia Beverly Hills,BB Cream,Daily,34.45,2.1,9123,Sensitive,Male,USA
Divine Concealer,Rare Beauty,CC Cream,Monthly,43.77,1.8,4993,Normal,Unisex,Australia
Super Bronzer,Fenty Beauty,Setting Spray,Weekly,60.02,2.3,8180,Normal,Male,Japan
Magic Face Mask,Make Up For Ever,Face Mask,Daily,59.49,3.8,115,Combination,Male,Germany
Magic Blush,Hourglass,Face Mask,Occasional,73.14,3.6,6510,Normal,Female,Italy
Super BB Cream,Anastasia Beverly Hills,Bronzer,Monthly,116.56,1.6,3755,Oily,Unisex,Italy
Super Lipstick,Ilia Beauty,Highlighter,Daily,29.84,2.8,8238,Normal,Female,South Korea
Ultra Lip Liner,Patrick Ta,Serum,Weekly,98.31,2.3,314,Dry,Unisex,USA
Ultra CC Cream,Sisley,Face Oil,Occasional,128.59,1.4,5731,Combination,Unisex,Italy
Ultra CC Cream,Laura Mercier,Exfoliator,Weekly,88.9,3.8,1202,Oily,Male,France
Perfect Eyeliner,KVD Beauty,Serum,Daily,120.64,1.6,2188,Sensitive,Unisex,UK
Perfect Primer,Drunk Elephant,Lip Liner,Weekly,83.67,2.1,2680,Normal,Female,UK
Magic Lip Gloss,Bite Beauty,Eye Shadow,Monthly,74.88,4.6,4061,Normal,Unisex,UK
Super Lip Liner,Tarte,Face Oil,Monthly,11.38,3,6977,Combination,Unisex,South Korea
